result0	result_desc	manifestation	advice
+11	11号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	11号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+12	12号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	12号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+13	13号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	大部分13三体胚胎都在孕早期自然流产，或于出生后1年内死亡。出生后13三体综合征患者的主要临床表现为严重智力低下，特殊面容，手足及生殖器畸形，并伴有严重致死性畸形包括前脑无裂畸形，轴后多指（趾），枕骨区头皮缺陷等。个体间临床表现具有差异性。	标准型13三体综合征多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+14	14号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	14号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+15	15号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	15号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+16	16号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	16号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+17	17号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	17号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+18	18号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	大部分18三体胚胎都在孕早期自然流产，或出生后不久死亡。出生后18三体综合征患者的典型症状包括严重的精神发育迟缓，小头畸形，小下颌，手指重叠、扭曲，胸骨短等。个体间临床表现具有差异性。	标准型18三体综合征多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+19	19号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	19号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+20	20号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	20号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+21	21号染色体三体，标准型21-三体综合征是由于细胞分裂过程中的染色体不分离，导致全部细胞额外多出1条21号染色体。21-三体综合征又称Down综合征，21-三体导致特征性的Down 综合征临床表型是一种剂量效应，与位于Down 综合征关键区域(Down syndrome critical region) 所含的DYRK1A 、ETS2 、SIM2 和DSCAM 等多个基因的量增导致基因表达过度有关。	60%的21三体综合征胚胎在孕早期即自然流产。出生后21三体综合征患者的主要临床表征为肌张力降低，智力障碍，生长发育迟缓，短头畸形，面部扁平，舌大外伸，通贯掌，腹部膨隆；部分患者有先天性心脏病、消化系统异常。个体间临床表现具有差异性。	标准型21三体综合征多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+22	22号染色体三体，三体多是由于减数分裂过程中染色体不分离导致。	三体多见于孕妇自发性流产。	22号染色体三体多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
+X	X染色体重复，多是由于减数分裂过程中染色体不分离导致。	正常男性多了一条X染色体，可导致Klinefelter综合征，又称克氏综合征、先天性睾丸发育不全症。典型的Klinefelter综合征患者体型较高，阴毛、腋毛及胡须稀少，第二特征发育异常，生殖器官发育不良，不育，男性乳房发育。此外，克氏综合征的患者主要表现为睾酮低下，促卵泡激素和黄体生成素升高。个体间临床表现具有差异性。	Klinefelter综合征多为新发染色体异常，再发风险较低。该综合征患者多数存在无精或严重少/弱精，一般无生育能力，不排除表型正常的可能性；若受检者存在少/弱精表型，可考虑通过辅助生殖技术进行生育，必要时可采取供精，具体请遵医嘱。请医生结合受检者的临床信息进行综合评估。
+Y	Y染色体重复，多是由于减数分裂过程中染色体不分离导致。	正常男性多了一条Y染色体，可导致XYY综合征，又称超雄综合征。典型的XYY综合征临床表现为身材高大，智能低下或处于正常下限，缺少自制力，情绪控制不良，肌张力低下等。XYY男性偶尔可见隐睾，睾丸发育不全并有精子形成障碍和生育力下降，尿道下裂等，但大多数男性可以生育。个体间临床表现具有差异性。	XYY综合征多为新发。若受检者无生育能力，可选择供精或领养，对于保留生育能力的患者，可通过辅助生殖技术孕育下一代。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
-X	X染色体缺失，多是由于减数分裂过程中染色体不分离或丢失导致。	X染色体缺失又称为Turner 综合征，大部分Turner综合征胚胎在孕早期即自然流产。出生后Turner综合征患者的典型症状包括身材矮小，生殖腺发育不良，特征性面容，后发际低，颈蹼，胸平而宽，乳头间距增宽，常伴心血管异常。个体间临床表现具有差异性。	Turner综合征多为新发染色体异常，再发风险较低。再发相关的原因可能有：孕妇高龄；生殖细胞嵌合体；父母存在与染色体不分离易感性有关的遗传或非遗传因素等。再次生育时，需进行产前筛查和产前诊断。请医生结合受检者的临床信息进行综合评估。
